CustomerID,Lookalikes
C0001,"[('C0050', 0.5326650751975152), ('C0100', 0.5286434400087234), ('C0105', 0.5220446140641956)]"
C0002,"[('C0109', 0.5363798777066622), ('C0079', 0.5285529219537446), ('C0117', 0.5150891446165621)]"
C0003,"[('C0181', 0.6200214220870752), ('C0186', 0.5564687690216371), ('C0067', 0.5507236227461357)]"
C0004,"[('C0063', 0.45920773392365694), ('C0070', 0.44279874990787116), ('C0076', 0.38293854526808424)]"
C0005,"[('C0096', 0.6683801091411397), ('C0192', 0.6418213940288774), ('C0072', 0.6304891486232183)]"
C0006,"[('C0058', 0.6833174088001752), ('C0040', 0.6626191774027397), ('C0046', 0.4295267345759101)]"
C0007,"[('C0020', 0.5798921734396695), ('C0031', 0.442596480768324), ('C0079', 0.41860885376446855)]"
C0008,"[('C0165', 0.47995825082574334), ('C0169', 0.4235446133872936), ('C0143', 0.38197294182415203)]"
C0009,"[('C0140', 0.7865578016626213), ('C0156', 0.7200165748771815), ('C0112', 0.7111860621753342)]"
C0010,"[('C0029', 0.8903528709045399), ('C0092', 0.8650163105267379), ('C0083', 0.8422806466766237)]"
C0011,"[('C0135', 0.6044043836963852), ('C0173', 0.4227738184459968), ('C0108', 0.37196803198890127)]"
C0012,"[('C0164', 0.6931189300367439), ('C0173', 0.6266483032927103), ('C0128', 0.6199571609404172)]"
C0013,"[('C0058', 0.5569830949313298), ('C0040', 0.5401116310481087), ('C0131', 0.4942194902040313)]"
C0014,"[('C0128', 0.5740534126137472), ('C0159', 0.44121732020432397), ('C0136', 0.32363965675500067)]"
C0015,"[('C0073', 0.5473952661786068), ('C0036', 0.4701146948862681), ('C0179', 0.45399896972080217)]"
C0016,"[('C0052', 0.6706227231772772), ('C0064', 0.6667525727376913), ('C0187', 0.6574094706946669)]"
C0017,"[('C0146', 0.49419227564570306), ('C0147', 0.3800012288451183), ('C0046', 0.36783427856261214)]"
C0018,"[('C0059', 0.37252427170007346), ('C0115', 0.3569406227142748), ('C0177', 0.35065146538706277)]"
C0019,"[('C0064', 0.639336891964859), ('C0049', 0.5664016695829286), ('C0084', 0.4533974485736401)]"
C0020,"[('C0026', 0.6544854567469434), ('C0007', 0.5798921734396695), ('C0119', 0.5551587050535502)]"
